Word,TD-IDF Value
city,46.99651437560337
newly,46.8211963653454
existing,46.77240329401009
requirement,46.51961814994246
unique,46.383679613779925
maintenance,46.32084609186303
success,46.31643786462529
perm,45.885522008954304
field,45.86161385659692
sharepoint,45.84632673540482
suburbs,45.77311367258378
innovation,45.56306361862652
engagement,45.53219862594675
portfolio,45.525730102030366
learning,45.19874451424393
platforms,45.186165974912925
pmo,45.17623362802142
essential,45.126669364969665
created,45.08109991677313
capability,45.019362573422384
ongoing,44.889037457894666
corporate,44.73283029093142
group,44.70991375429091
erp,44.51694910046265
performance,44.31390306413387
vendor,43.98583973631375
winning,43.864889402732004
core,43.78960208804091
award,43.66991060728722
internal,43.651561537749316
centre,42.788927500723254
play,42.68635139338998
trading,42.640264606796784
rapidly,42.36041707937122
ms,42.32266874886483
outstanding,42.20036906507818
operational,42.15812892767252
good,42.116802071002574
tester,41.89815087909671
short,41.794364266082695
close,41.70840851969937
10,41.70502396155505
create,41.594294585347555
international,41.49139868216484
challenging,41.39706826139751
oracle,41.04294380538579
daily,40.969010325279115
future,40.875855037601504
collaborative,40.80266989829779
utilise,40.33600034869113
graduate,40.303057985158404
improvement,40.28420119404
activities,40.23737356309338
intelligence,40.23443716671602
initiatives,40.15273881188536
potential,40.13409820204602
rare,40.10409079063305
api,39.931639546436585
site,39.707068142134425
governance,39.56915509074465
expanding,39.45225607025686
technician,39.34125607134834
competitive,39.219735442299864
type,39.21265236576515
multi,39.17093151650984
consultants,38.94007639398796
communications,38.90408027174436
darwin,38.86676605333684
ui,38.577563328173106
hiring,38.462376849806056
including,38.44182763878271
come,38.202422554273014
pre,38.187746271440325
nv1,38.18643284593649
deployment,37.90742115999836
flexible,37.90429263672558
number,37.89661422134055
extensive,37.89025734467182
enthusiastic,37.870131302632224
bring,37.84208152716171
ensure,37.721178919889624
hr,37.39661384447981
database,37.2892231224996
like,37.19891645875089
facing,36.988977369023246
companies,36.5806087929177
exp,36.511871164661414
exceptional,36.40064457364833
diverse,36.22509889533613
defence,36.18928933624581
saas,36.02144190991081
offer,35.9936245605843
state,35.932003846627126
online,35.91952158597204
needs,35.649291352782235
stakeholders,35.53623957465496
engage,35.45363919510077
parramatta,35.44139227926009
south,35.41980764008249
planning,35.27668284370083
partner,35.0981896528311
organisations,35.07665912575744
pm,35.030913723912136
js,34.97734518712368
extend,34.841482256932785
contribute,34.33186574642231
awesome,34.20091600851752
urgently,34.18281868916887
coast,34.17496826766226
qld,33.892207989836834
domain,33.69990949463282
bau,33.62888559845943
communication,33.45771200766417
gov,33.439844207881094
recruiting,33.301123376033495
environments,33.268566255767944
managers,33.19876150841334
users,33.12518798209239
act,33.06652250211874
reputable,33.009054094047876
msp,32.98177421027696
scrum,32.80025997675501
adelaide,32.6939205170558
class,32.68598778651541
administration,32.653609499975445
contracts,32.626497332242955
servicenow,32.51118274370125
view,32.479508971907926
asx,32.281668703257886
listed,32.208152271187835
attractive,32.18202782022646
challenge,31.912077211142343
base,31.831084028627174
wide,31.66386152369063
framework,31.579625043439822
retail,31.52464082019212
central,31.262951764939398
tools,31.015804839516797
fun,30.836514776203664
impact,30.803886971708685
mining,30.710533909203512
home,30.68576024303425
procurement,30.59722885568721
various,30.48575175593847
secure,30.482234651599846
likely,30.46596347192386
require,30.258266979416796
etl,30.244846474156216
park,30.242242203022215
step,30.161696347931073
dev,30.145892932017983
chance,30.123144081317278
contact,29.77254754031428
media,29.640601645062826
staff,29.58332346785227
options,29.549047617936655
implementing,29.54281620950826
organization,29.448099191504028
ecommerce,29.388254716577723
real,29.234521084892503
interesting,29.220757129577606
website,29.107147402083882
vmware,29.103549615995785
individual,29.09700436647274
apps,29.07818663442989
improve,29.01841227854582
ios,29.004452845579404
asset,28.990291260336324
western,28.957318988939722
travel,28.955002873637746
payments,28.951695475549673
000,28.823272032876
healthcare,28.65996712861961
package,28.65149976024666
sme,28.6480806315726
love,28.645163347265324
investment,28.63276780696391
urgent,28.532275840209877
benefits,28.471684010479628
content,28.465770850588267
issues,28.414358509872102
progression,28.36295855985921
programs,28.36061045189709
exists,28.342573222156545
difference,28.341110714508268
gold,28.33043405265117
master,28.289522096807396
globally,27.99096487270398
designing,27.86874421606444
seeks,27.862219783704997
citizens,27.851045111295814
upgrade,27.771884257233094
involved,27.6533367755789
education,27.31364809660384
right,27.213869713517962
director,27.211714604003763
huge,27.20072553836532
regarded,27.14765383875917
node,26.889667275010694
minimum,26.82528633034309
code,26.629469720559232
positions,26.479622474880827
power,26.407414634202915
ability,26.35863403589973
proven,26.204667387587648
public,25.9043362483038
significant,25.591353582061654
30,25.330501931381043
friendly,25.20295247199582
balance,24.91710364660483
